artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,preview_url,track_id
Ahmed Kamel,0.699,https://api.spotify.com/v1/audio-analysis/5WF3MZoyxpQDXpfP7dftYj,0.486,229167,0.424,5WF3MZoyxpQDXpfP7dftYj,0.00107,4,0.16,-10.29,0,0.0404,132.072,4,https://api.spotify.com/v1/tracks/5WF3MZoyxpQDXpfP7dftYj,audio_features,spotify:track:5WF3MZoyxpQDXpfP7dftYj,0.148,Matez3aleesh,https://p.scdn.co/mp3-preview/fab60a038d5581e2b1145b2035f866778558eab5?cid=f0ab2ded1b8a482188532d1f3441d07c,5WF3MZoyxpQDXpfP7dftYj
Ahmed Malek,0.198,https://api.spotify.com/v1/audio-analysis/6Kp52G7u4E5gWhUqy7YQJt,0.608,163000,0.795,6Kp52G7u4E5gWhUqy7YQJt,0.362,0,0.102,-8.924,0,0.029,152.412,4,https://api.spotify.com/v1/tracks/6Kp52G7u4E5gWhUqy7YQJt,audio_features,spotify:track:6Kp52G7u4E5gWhUqy7YQJt,0.961,Bossa,https://p.scdn.co/mp3-preview/357a9cc22438ca246a680c7665f67d13bb9e2985?cid=f0ab2ded1b8a482188532d1f3441d07c,6Kp52G7u4E5gWhUqy7YQJt
Ahmed Kamel,0.174,https://api.spotify.com/v1/audio-analysis/5MmHwqBtWGWGZ2r2uTka7u,0.398,183093,0.36,5MmHwqBtWGWGZ2r2uTka7u,0.000137,0,0.101,-10.982,0,0.0308,129.515,4,https://api.spotify.com/v1/tracks/5MmHwqBtWGWGZ2r2uTka7u,audio_features,spotify:track:5MmHwqBtWGWGZ2r2uTka7u,0.108,Ya Lail,https://p.scdn.co/mp3-preview/037e9cfa8d972b8faf7c2fece648c568e7b9d0f6?cid=f0ab2ded1b8a482188532d1f3441d07c,5MmHwqBtWGWGZ2r2uTka7u
Abdelrahman Roshdy,0.0089,https://api.spotify.com/v1/audio-analysis/14adGIpU5D6uCMjDPacIqE,0.55,193529,0.532,14adGIpU5D6uCMjDPacIqE,0.0153,9,0.213,-9.858,0,0.0643,139.99,4,https://api.spotify.com/v1/tracks/14adGIpU5D6uCMjDPacIqE,audio_features,spotify:track:14adGIpU5D6uCMjDPacIqE,0.518,Neshky Le Meen,https://p.scdn.co/mp3-preview/227d96541004e185b5929a577dec849ee65c2a4e?cid=f0ab2ded1b8a482188532d1f3441d07c,14adGIpU5D6uCMjDPacIqE
Ahmad Jamal,0.839,https://api.spotify.com/v1/audio-analysis/55vZxzO7OAmh93hLRiM8qB,0.648,347453,0.277,55vZxzO7OAmh93hLRiM8qB,0.851,5,0.0834,-15.763,1,0.0319,107.462,4,https://api.spotify.com/v1/tracks/55vZxzO7OAmh93hLRiM8qB,audio_features,spotify:track:55vZxzO7OAmh93hLRiM8qB,0.607,Pavanne,https://p.scdn.co/mp3-preview/9c6a60cb8643d3b6846440b2de33129af6b780b8?cid=f0ab2ded1b8a482188532d1f3441d07c,55vZxzO7OAmh93hLRiM8qB
Ahmed Kamel,0.676,https://api.spotify.com/v1/audio-analysis/4JRkm41mOsfLu0gEvGGgZ4,0.285,254094,0.435,4JRkm41mOsfLu0gEvGGgZ4,5.89E-05,8,0.118,-12.717,0,0.0588,93.009,5,https://api.spotify.com/v1/tracks/4JRkm41mOsfLu0gEvGGgZ4,audio_features,spotify:track:4JRkm41mOsfLu0gEvGGgZ4,0.237,Cancer,https://p.scdn.co/mp3-preview/7bb303875cc197efb04b7d737a1d14a58e2f1353?cid=f0ab2ded1b8a482188532d1f3441d07c,4JRkm41mOsfLu0gEvGGgZ4
Ahmed Kamel,0.431,https://api.spotify.com/v1/audio-analysis/52Y6q9H7t8o1u4ZWTQWlnC,0.456,218097,0.611,52Y6q9H7t8o1u4ZWTQWlnC,0.000322,5,0.566,-10.301,0,0.358,151.968,4,https://api.spotify.com/v1/tracks/52Y6q9H7t8o1u4ZWTQWlnC,audio_features,spotify:track:52Y6q9H7t8o1u4ZWTQWlnC,0.537,Argaa Ahen,https://p.scdn.co/mp3-preview/c7a30f31dad2a1b406fa79b6d431807b47f7fdba?cid=f0ab2ded1b8a482188532d1f3441d07c,52Y6q9H7t8o1u4ZWTQWlnC
Ahmed Kamel,0.543,https://api.spotify.com/v1/audio-analysis/6UM1KAACZdnTpPVFyxLTIa,0.41,273129,0.457,6UM1KAACZdnTpPVFyxLTIa,0.0268,0,0.161,-9.571,0,0.0356,129.503,4,https://api.spotify.com/v1/tracks/6UM1KAACZdnTpPVFyxLTIa,audio_features,spotify:track:6UM1KAACZdnTpPVFyxLTIa,0.237,Mesh Shart,https://p.scdn.co/mp3-preview/33c040755d45af051eee539da370340c446d144b?cid=f0ab2ded1b8a482188532d1f3441d07c,6UM1KAACZdnTpPVFyxLTIa
Ahmad Jamal,0.982,https://api.spotify.com/v1/audio-analysis/4WeALICmdsUgK5gW2xjLkG,0.524,183067,0.0877,4WeALICmdsUgK5gW2xjLkG,0.891,0,0.129,-21.657,1,0.0394,79.894,4,https://api.spotify.com/v1/tracks/4WeALICmdsUgK5gW2xjLkG,audio_features,spotify:track:4WeALICmdsUgK5gW2xjLkG,0.117,I'll Never Stop Loving You,https://p.scdn.co/mp3-preview/246f16068a8cf33b503d334988bade3a7227d21e?cid=f0ab2ded1b8a482188532d1f3441d07c,4WeALICmdsUgK5gW2xjLkG
Ahmed Kamel,0.602,https://api.spotify.com/v1/audio-analysis/4S7m7Fojo1DrhKVJFU4qS8,0.724,173175,0.618,4S7m7Fojo1DrhKVJFU4qS8,0.000675,1,0.145,-10.163,1,0.0385,110.014,4,https://api.spotify.com/v1/tracks/4S7m7Fojo1DrhKVJFU4qS8,audio_features,spotify:track:4S7m7Fojo1DrhKVJFU4qS8,0.689,Khareg an El Saytara,https://p.scdn.co/mp3-preview/c65a1346500329202fc723606a9a7cdfe4301baa?cid=f0ab2ded1b8a482188532d1f3441d07c,4S7m7Fojo1DrhKVJFU4qS8
